word,frequency,start_date,end_date,rank
need,66,11/09/2020,19/09/2020,15
minist,64,11/09/2020,19/09/2020,16
said,64,11/09/2020,19/09/2020,17
prime,62,11/09/2020,19/09/2020,18
onli,61,11/09/2020,19/09/2020,19
death,60,11/09/2020,19/09/2020,20
govern,291,21/09/2020,29/09/2020,1
onli,260,21/09/2020,29/09/2020,2
mani,241,21/09/2020,29/09/2020,3
rate,230,21/09/2020,29/09/2020,4
dictat,224,21/09/2020,29/09/2020,5
interact,224,21/09/2020,29/09/2020,6
recoveri,223,21/09/2020,29/09/2020,7
genuin,221,21/09/2020,29/09/2020,8
peopl,220,21/09/2020,29/09/2020,9
worri,220,21/09/2020,29/09/2020,10
overreach,216,21/09/2020,29/09/2020,11
dystopian,216,21/09/2020,29/09/2020,12
995,216,21/09/2020,29/09/2020,13
new,178,21/09/2020,29/09/2020,14
normal,152,21/09/2020,29/09/2020,15
far,129,21/09/2020,29/09/2020,16
human,104,21/09/2020,29/09/2020,17
condit,98,21/09/2020,29/09/2020,18
think,95,21/09/2020,29/09/2020,19
countri,94,21/09/2020,29/09/2020,20
govern,196,01/10/2020,09/10/2020,1
right,179,01/10/2020,09/10/2020,2
peopl,178,01/10/2020,09/10/2020,3
great,173,01/10/2020,09/10/2020,4
onli,168,01/10/2020,09/10/2020,5
reset,166,01/10/2020,09/10/2020,6
britain,165,01/10/2020,09/10/2020,7
mani,165,01/10/2020,09/10/2020,8
conspiraci,162,01/10/2020,09/10/2020,9
announc,161,01/10/2020,09/10/2020,10
theorist,160,01/10/2020,09/10/2020,11
amp,149,01/10/2020,09/10/2020,12
rate,148,01/10/2020,09/10/2020,13
worri,138,01/10/2020,09/10/2020,14
new,138,01/10/2020,09/10/2020,15
recoveri,135,01/10/2020,09/10/2020,16
dystopian,130,01/10/2020,09/10/2020,17
dictat,130,01/10/2020,09/10/2020,18
995,129,01/10/2020,09/10/2020,19
interact,129,01/10/2020,09/10/2020,20
govern,237,11/10/2020,19/10/2020,1
onli,205,11/10/2020,19/10/2020,2
peopl,192,11/10/2020,19/10/2020,3
mani,190,11/10/2020,19/10/2020,4
rate,187,11/10/2020,19/10/2020,5
worri,174,11/10/2020,19/10/2020,6
genuin,173,11/10/2020,19/10/2020,7
dictat,172,11/10/2020,19/10/2020,8
interact,170,11/10/2020,19/10/2020,9
overreach,169,11/10/2020,19/10/2020,10
recoveri,169,11/10/2020,19/10/2020,11
995,169,11/10/2020,19/10/2020,12
dystopian,169,11/10/2020,19/10/2020,13
new,168,11/10/2020,19/10/2020,14
death,153,11/10/2020,19/10/2020,15
normal,126,11/10/2020,19/10/2020,16
far,111,11/10/2020,19/10/2020,17
manchest,106,11/10/2020,19/10/2020,18
amp,100,11/10/2020,19/10/2020,19
human,98,11/10/2020,19/10/2020,20
peopl,234,21/10/2020,29/10/2020,1
death,228,21/10/2020,29/10/2020,2
lockdown,201,21/10/2020,29/10/2020,3
mani,158,21/10/2020,29/10/2020,4
govern,146,21/10/2020,29/10/2020,5
onli,139,21/10/2020,29/10/2020,6
die,117,21/10/2020,29/10/2020,7
amp,115,21/10/2020,29/10/2020,8
rate,105,21/10/2020,29/10/2020,9
new,98,21/10/2020,29/10/2020,10
worri,93,21/10/2020,29/10/2020,11
test,91,21/10/2020,29/10/2020,12
recoveri,91,21/10/2020,29/10/2020,13
normal,90,21/10/2020,29/10/2020,14
genuin,89,21/10/2020,29/10/2020,15
dictat,88,21/10/2020,29/10/2020,16
overreach,87,21/10/2020,29/10/2020,17
995,87,21/10/2020,29/10/2020,18
dystopian,87,21/10/2020,29/10/2020,19
interact,87,21/10/2020,29/10/2020,20
govern,186,01/11/2020,09/11/2020,1
mani,185,01/11/2020,09/11/2020,2
peopl,174,01/11/2020,09/11/2020,3
onli,173,01/11/2020,09/11/2020,4
data,155,01/11/2020,09/11/2020,5
rate,150,01/11/2020,09/11/2020,6
risk,144,01/11/2020,09/11/2020,7
tell,143,01/11/2020,09/11/2020,8
worri,142,01/11/2020,09/11/2020,9
exagger,142,01/11/2020,09/11/2020,10
genuin,141,01/11/2020,09/11/2020,11
dictat,141,01/11/2020,09/11/2020,12
995,139,01/11/2020,09/11/2020,13
recoveri,138,01/11/2020,09/11/2020,14
dystopian,137,01/11/2020,09/11/2020,15
overreach,137,01/11/2020,09/11/2020,16
interact,137,01/11/2020,09/11/2020,17
academ,135,01/11/2020,09/11/2020,18
lockdown,135,01/11/2020,09/11/2020,19
normal,107,01/11/2020,09/11/2020,20
peopl,339,11/11/2020,19/11/2020,1
million,193,11/11/2020,19/11/2020,2
im,184,11/11/2020,19/11/2020,3
