,word,frequency,start_date,end_date
493,SPA,1,2020-01-21,2020-01-29
494,the UK Government,1,2020-01-21,2020-01-29
495,Visa,1,2020-01-21,2020-01-29
496,JC,1,2020-01-21,2020-01-29
497,Looooool Have,1,2020-01-21,2020-01-29
498,Champagne 9,1,2020-01-21,2020-01-29
499,European Union,1,2020-01-21,2020-01-29
500,OWN,1,2020-01-21,2020-01-29
501,Cornwall Great,1,2020-01-21,2020-01-29
502,ERG,1,2020-01-21,2020-01-29
503,FUN,1,2020-01-21,2020-01-29
504,EUP,1,2020-01-21,2020-01-29
505,Rotherham,1,2020-01-21,2020-01-29
506,UKUS,1,2020-01-21,2020-01-29
507,BBC,1,2020-01-21,2020-01-29
508,AnnWiddecombe,1,2020-01-21,2020-01-29
509,World,1,2020-01-21,2020-01-29
510,Botty,1,2020-01-21,2020-01-29
511,Topbuzz httpstcoPeWMpOZUZF,1,2020-01-21,2020-01-29
512,the European Union Valeria TarditiUniversity,1,2020-01-21,2020-01-29
513,Correct Reunification,1,2020-01-21,2020-01-29
514,Freedom of Movement,1,2020-01-21,2020-01-29
515,Apocalypse Now,1,2020-01-21,2020-01-29
516,ThePeople,1,2020-01-21,2020-01-29
517,QAnon,1,2020-01-21,2020-01-29
518,G Networks,1,2020-01-21,2020-01-29
519,EU Muppet Licenses,1,2020-01-21,2020-01-29
520,Carlton,1,2020-01-21,2020-01-29
521,Unsure,1,2020-01-21,2020-01-29
522,Scotland Wales,1,2020-01-21,2020-01-29
523,Quote B Johnson,1,2020-01-21,2020-01-29
524,Hauwei,1,2020-01-21,2020-01-29
525,FCUK,1,2020-01-21,2020-01-29
526,Awyes,1,2020-01-21,2020-01-29
527,Clumsily,1,2020-01-21,2020-01-29
528,Aussies,1,2020-01-21,2020-01-29
529,BT,1,2020-01-21,2020-01-29
530,the Free Trade Agreement,1,2020-01-21,2020-01-29
531,Merkels,1,2020-01-21,2020-01-29
532,American Love,1,2020-01-21,2020-01-29
533,the Antartica Liaison Office,1,2020-01-21,2020-01-29
534,Brexit Except,1,2020-01-21,2020-01-29
535,Fact,1,2020-01-21,2020-01-29
536,DominicCummings,1,2020-01-21,2020-01-29
537,UnitedKingdom,1,2020-01-21,2020-01-29
